arp.opcode,arp.hw.size,icmp.checksum,icmp.seq_le,icmp.transmit_timestamp,http.content_length,http.response,tcp.ack,tcp.ack_raw,tcp.checksum,tcp.connection.fin,tcp.connection.rst,tcp.connection.syn,tcp.connection.synack,tcp.dstport,tcp.flags,tcp.flags.ack,tcp.len,tcp.options,tcp.payload,tcp.seq,tcp.srcport,udp.port,udp.stream,udp.time_delta,dns.qry.name,dns.qry.name.len,dns.qry.qu,dns.retransmission,dns.retransmit_request,mqtt.conflag.cleansess,mqtt.conflags,mqtt.hdrflags,mqtt.len,mqtt.msgtype,mqtt.proto_len,mqtt.topic_len,mqtt.ver,label
0.0,0.0,0.0,0.0,0,28.0,0.0,20851241.225225225,2388157318.0,0,11.0,2.0,6.0,6.0,12721.567567567568,0,0,33.68468468468468,0,3339633.333333333,141.45045045045046,13616.477477477478,0,0.0,0.2059557333333333,0.0,10.333333333333334,0,0,2.0,0,0,0,61.07692307692308,47.0,4.0,230.0,4.0,Backdoor
1.0,4056034890.0,0.0,0.0,0,28.0,0.0,18505861.669902917,1346783315.4215686,0,12.0,2.0,6.0,7.0,8449.73786407767,0,0,36.549019607843135,0,10014450.0,153.8235294117647,7775.28431372549,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,61.07692307692308,47.0,4.0,230.0,4.0,Backdoor
1.0,2963802347.0,0.0,0.0,0,28.0,0.0,177.242774566474,2661651579.8550725,0,11.0,0.0,5.0,6.0,31971.895953757223,0,0,8.933333333333334,0,128.9855072463768,55.43478260869565,31933.55072463768,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,Backdoor
1.0,2963802347.0,0.0,0.0,0,28.0,0.0,173.0332409972299,2774883511.425,0,11.0,0.0,5.0,6.0,34143.7728531856,0,0,8.580555555555556,0,122.75862068965516,55.888888888888886,34425.563888888886,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,Backdoor
1.0,2963802347.0,0.0,0.0,0,28.0,0.0,178.27665706051874,2782793533.650289,0,11.0,0.0,5.0,6.0,36812.24207492796,0,0,8.872832369942197,0,0.0,56.46242774566474,37486.33815028902,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,Backdoor
1.0,2963802347.0,0.0,0.0,0,28.0,0.0,177.7536231884058,2752186520.5668607,0,11.0,0.0,5.0,6.0,35901.78550724638,0,0,8.956395348837209,0,129.92700729927006,55.19767441860465,36535.15697674418,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,Backdoor
1.0,2963802347.0,0.0,0.0,0,28.0,0.0,176.7377521613833,2652463355.638728,0,11.0,0.0,5.0,6.0,35832.178674351584,0,0,8.907514450867051,0,128.9855072463768,54.884393063583815,36461.78901734104,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,Backdoor
1.0,2963802347.0,0.0,0.0,0,28.0,0.0,179.30144927536233,2800065184.101744,0,11.0,0.0,5.0,6.0,32669.75652173913,0,0,8.921511627906977,0,0.0,56.78488372093023,32630.622093023256,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,Backdoor
1.0,2963802347.0,0.0,0.0,0,28.0,0.0,174.33802816901408,2766546390.0141244,0,11.0,0.0,5.0,6.0,32053.690140845072,0,0,8.717514124293785,0,125.35211267605634,55.22033898305085,32014.03389830509,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,Backdoor
1.0,2963802347.0,0.0,0.0,0,28.0,0.0,177.242774566474,2714913401.884058,0,11.0,0.0,5.0,6.0,31957.12138728324,0,0,8.933333333333334,0,128.9855072463768,55.43478260869565,31916.263768115943,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,Backdoor
